date,time,strategy,symbol,price,under_before,under_after,under_inc,under_pct,consecutive
2026-07-15,09:53:28,UNDER急増,4840,630.0,12800,22000,9200,71.9,
2026-07-15,09:57:05,小口売り連続/STRONG,3686,72.0,,,,,10
2026-07-15,10:00:11,小口売り連続/WATCH,5707,830.0,,,,,5
2026-07-15,10:05:09,小口売り連続/WATCH,5817,881.0,,,,,5
2026-07-15,10:05:17,小口売り連続/WATCH,5129,255.0,,,,,5
2026-07-15,10:10:49,小口売り連続/WATCH,4395,764.0,,,,,5
2026-07-15,10:11:07,小口売り連続/WATCH,5591,825.0,,,,,5
2026-07-15,10:18:22,小口売り連続/WATCH,4418,934.0,,,,,5
2026-07-15,10:19:52,UNDER急増,5132,1924.0,18300,23700,5400,29.5,
2026-07-15,10:21:32,UNDER急増,5591,826.0,17200,26600,9400,54.7,
2026-07-15,10:24:13,小口売り連続/WATCH,5588,746.0,,,,,5
2026-07-15,10:30:40,小口売り連続/WATCH,3686,72.0,,,,,5
2026-07-15,10:38:36,小口売り連続/WATCH,7602,164.0,,,,,5
2026-07-15,10:40:41,小口売り連続/STRONG,3686,72.0,,,,,10
2026-07-15,10:40:52,UNDER急増,3747,435.0,36800,63300,26500,72.0,
2026-07-15,10:45:39,小口売り連続/WATCH,5817,897.0,,,,,5
2026-07-15,10:57:43,UNDER急増,4165,578.0,137000,181500,44500,32.5,
2026-07-15,11:22:55,小口売り連続/WATCH,3686,72.0,,,,,5
2026-07-15,11:25:45,小口売り連続/WATCH,4418,946.0,,,,,5
2026-07-15,12:29:46,UNDER急増,3807,89.0,39000,64200,25200,64.6,
2026-07-15,12:32:34,UNDER急増,6228,516.0,32800,54900,22100,67.4,
2026-07-15,12:35:11,小口売り連続/WATCH,4418,960.0,,,,,5
2026-07-15,12:39:02,小口売り連続/WATCH,4418,961.0,,,,,5
2026-07-15,12:41:51,小口売り連続/WATCH,3686,72.0,,,,,5
2026-07-15,12:43:47,小口売り連続/WATCH,4446,808.0,,,,,5
2026-07-15,12:47:40,UNDER急増,3747,436.0,27300,59000,31700,116.1,
2026-07-15,12:49:01,小口売り連続/WATCH,4418,949.0,,,,,5
2026-07-15,12:50:25,小口売り連続/WATCH,4418,947.0,,,,,5
2026-07-15,12:52:18,小口売り連続/WATCH,4418,938.0,,,,,5
2026-07-15,12:53:32,小口売り連続/STRONG,3686,72.0,,,,,10
2026-07-15,13:11:50,小口売り連続/WATCH,7602,166.0,,,,,5
2026-07-15,13:15:32,小口売り連続/WATCH,9130,1453.0,,,,,5
2026-07-15,13:22:49,小口売り連続/WATCH,4176,274.0,,,,,5
2026-07-15,13:50:37,小口売り連続/WATCH,5132,1997.0,,,,,5
2026-07-15,14:16:15,小口売り連続/WATCH,3686,73.0,,,,,5
2026-07-15,14:23:40,小口売り連続/WATCH,4176,278.0,,,,,5
2026-07-15,14:25:14,小口売り連続/WATCH,3686,73.0,,,,,5
2026-07-15,14:34:34,小口売り連続/WATCH,3686,73.0,,,,,5
2026-07-15,14:37:04,小口売り連続/WATCH,4418,956.0,,,,,5
2026-07-15,14:46:27,小口売り連続/WATCH,2998,542.0,,,,,5
2026-07-15,14:48:59,小口売り連続/WATCH,3686,73.0,,,,,5
2026-07-15,14:57:16,小口売り連続/WATCH,4446,816.0,,,,,5
2026-07-15,15:00:04,小口売り連続/STRONG,3686,73.0,,,,,10
2026-07-15,15:13:42,小口売り連続/WATCH,7071,387.0,,,,,5
2026-07-15,15:19:46,小口売り連続/WATCH,9327,217.0,,,,,5
2026-07-15,15:21:35,小口売り連続/WATCH,3692,5620.0,,,,,5
2026-07-15,15:23:24,小口売り連続/WATCH,4570,1030.0,,,,,5
2026-07-16,09:01:30,UNDER急増,5707,838.0,106700,135400,28700,26.9,
2026-07-16,09:01:37,UNDER急増,4575,786.0,47200,80000,32800,69.5,
2026-07-16,09:01:53,UNDER急増,9327,213.0,9700,14000,4300,44.3,
2026-07-16,09:03:00,UNDER急増,5597,1431.0,25100,32700,7600,30.3,
2026-07-16,09:04:06,UNDER急増,5597,1423.0,27900,34000,6100,21.9,
2026-07-16,09:04:13,UNDER急増,6228,515.0,34700,54900,20200,58.2,
2026-07-16,09:04:57,UNDER急増,4575,777.0,38000,68800,30800,81.1,
2026-07-16,09:05:13,UNDER急増,4395,775.0,37500,53300,15800,42.1,
2026-07-16,09:06:00,UNDER急増,3747,432.0,12500,39100,26600,212.8,
2026-07-16,09:06:06,UNDER急増,9327,211.0,10600,13200,2600,24.5,
2026-07-16,09:06:07,小口売り連続/WATCH,3686,73.0,,,,,5
2026-07-16,09:06:58,UNDER急増,5597,1405.0,28400,34800,6400,22.5,
2026-07-16,09:07:01,小口売り連続/WATCH,4570,1017.0,,,,,5
2026-07-16,09:07:29,UNDER急増,5591,832.0,10700,21500,10800,100.9,
2026-07-16,09:07:33,UNDER急増,6495,126.0,39400,118400,79000,200.5,
2026-07-16,09:08:30,UNDER急増,5591,825.0,10900,22600,11700,107.3,
2026-07-16,09:08:52,UNDER急増,6495,126.0,39400,118400,79000,200.5,
2026-07-16,09:09:29,小口売り連続/WATCH,4840,665.0,,,,,5
2026-07-16,09:09:56,UNDER急増,9115,840.0,9600,20900,11300,117.7,
2026-07-16,09:11:40,UNDER急増,5591,821.0,15400,22700,7300,47.4,
2026-07-16,09:13:00,小口売り連続/WATCH,5817,1122.0,,,,,5
2026-07-16,09:14:20,UNDER急増,9327,213.0,16700,20800,4100,24.6,
2026-07-16,09:14:28,UNDER急増,4075,916.0,10700,21700,11000,102.8,
2026-07-16,09:14:33,小口売り連続/WATCH,5031,347.0,,,,,5
2026-07-16,09:16:02,UNDER急増,7352,408.0,92600,142300,49700,53.7,
